time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-10-07 06:33:45.322 UTC, , , , , , , , , ,125,3159973,14040,80, ,3, ,12, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,899182329856,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1377,7,7,4,7, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,1,2,23067648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-10-07 06:34:45.325 UTC, , , , , , , , , ,125,6454613,3308760, , ,189, ,53534, , , , , , , , , ,189,5, , , ,94,1,3, ,1107, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,47,61,264176928,3, , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,542, ,16206, ,1102,15643,21334, , , , , , , , , , 
2025-10-07 06:35:45.327 UTC, , , , , , ,1, , ,125,8161813,5015960, , ,276, ,71122, , , , , , , , , ,276,7, , , ,103,1,4, ,719, , , , , , , , , , , ,39610, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,27,38,237503528,3, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,350, ,8823, ,714,35994,26144, , , , , , , , , , 
2025-10-07 06:36:45.329 UTC, , , , , , , , , ,125,8563917,5418064, , ,305, ,33706, , , , , , , , , ,305,7, , , ,98,1,4, ,719, , , , , , , , , , , ,33640, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,21,26,217778632,2, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,350, ,2660, ,714,21228,9718, , , , , , , , , , 
2025-10-07 06:37:45.330 UTC, , , , , , , , , ,125,9110901,5965048, , ,343, ,41951, , , , , , , , , ,343,8, , , ,93,1,4, ,719, , , , , , , , , , , ,41897, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,33,46,252490856,2, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,350, ,3513, ,714,17793,20548, , , , , , , , , , 
2025-10-07 06:38:45.332 UTC, , , , , , , , , ,125,9388701,6242848, , ,356, ,26319, , , , , , , , , ,356,8, , , ,88,1,4, ,821, , , , , , , , , , , ,26251, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,16,18,228799320,1, , , , , , , , , , ,2, ,5, , , , , , , , , , , , , , , , , , , , , , ,400, ,1989, ,816,15747,8497, , , , , , , , , , 
2025-10-07 06:39:45.334 UTC, , , , , , , , , ,125,9935389,6789536, , ,391, ,30599, , , , , , , , , ,391,9, , , ,82,1,4, ,618, , , , , , , , , , , ,30543, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,20,24,308370288,2, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,300, ,3334, ,612,16739,10429, , , , , , , , , , 
2025-10-07 06:40:45.336 UTC, , , , , , , , , ,125,10261349,7115496, , ,408, ,29898, , , , , , , , , ,408,9, , , ,76,1,4, ,822, , , , , , , , , , , ,29826, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,22,25,197684024,1, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,400, ,2216, ,816,17993,9594, , , , , , , , , , 
2025-10-07 06:41:45.337 UTC, , , , , , , , , ,125,10977517,7831664, , ,449, ,41304, , , , , , , , , ,449,9, , , ,71,1,4, ,822, , , , , , , , , , , ,41238, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,24,27,228224512,2, , , , , , , , , , ,2, ,5, , , , , , , , , , , , , , , , , , , , , , ,400, ,3961, ,816,24102,13129, , , , , , , , , , 
2025-10-07 06:42:45.339 UTC, , , , , , , , , ,125,12466789,9320936, , ,526, ,63149, , , , , , , , , ,526,10, , , ,64,1,3, ,822, , , , , , , , , , , ,63079, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,22,40,170988728,2, , , , , , , , , , ,1, ,7, , , , , , , , , , , , , , , , , , , , , , ,400, ,7310, ,816,32442,23243, , , , , , , , , , 
